keyword,normalized,title,url,description,priority,variation_type,exact_match
ITIL – Information Technology Infrastructure Library,itil – information technology infrastructure library,ITIL – Information Technology Infrastructure Library,/en/glossary/ITIL/,A global best practices framework that helps organizations manage IT services efficiently and align technology with business goals.,1104,exact,true
"Entity Extraction (Named Entity Recognition, NER)","entity extraction (named entity recognition, ner)","Entity Extraction (Named Entity Recognition, NER)",/en/glossary/Entity-Extraction/,"A technology that automatically identifies and extracts key information like names, organizations, and dates from text, converting it into organized data for analysis and automation.",1098,exact,true
Security Information and Event Management (SIEM),security information and event management (siem),Security Information and Event Management (SIEM),/en/glossary/Security-Information-and-Event-Management--SIEM-/,"A centralized security platform that collects and analyzes data from all your IT systems to detect threats, identify suspicious activity, and help respond to security incidents in real-time.",1096,exact,true
Personal Information Protection Law (China),personal information protection law (china),Personal Information Protection Law (China),/en/glossary/Personal-Information-Protection-Law/,"China's data protection law that sets rules for how companies collect, use, and protect personal information. It applies to all organizations handling data of people in China, including foreign compan",1086,exact,true
Scenarios (Pre-Prepared Conversation Flows),scenarios (pre-prepared conversation flows),Scenarios (Pre-Prepared Conversation Flows),/en/glossary/scenarios/,A pre-written conversation blueprint that guides how a chatbot responds to users and performs actions to achieve specific business goals.,1086,exact,true
Privacy-Preserving Machine Learning (PPML),privacy-preserving machine learning (ppml),Privacy-Preserving Machine Learning (PPML),/en/glossary/Privacy-Preserving-ML/,A set of techniques that allow machine learning systems to learn from sensitive data while keeping that data hidden and protected from exposure.,1084,exact,true
APIs (Application Programming Interfaces),apis (application programming interfaces),APIs (Application Programming Interfaces),/en/glossary/APIs/,"A set of rules that lets different software applications communicate and share data with each other, like a waiter taking orders between you and a kitchen.",1082,exact,true
Environment Variables (Secrets): The Deep,environment variables (secrets): the deep,Environment Variables (Secrets): The Deep,/en/glossary/Environment-Variables--Secrets-/,Learn about environment variables (secrets) for secure application configuration.,1082,exact,true
HNSW (Hierarchical Navigable Small World),hnsw (hierarchical navigable small world),HNSW (Hierarchical Navigable Small World),/en/glossary/HNSW--Hierarchical-Navigable-Small-World-/,"A fast search algorithm that finds the most similar items in large datasets by navigating through a layered network graph, enabling quick results without checking every item.",1082,exact,true
Integration Platform as a Service (iPaaS),integration platform as a service (ipaas),Integration Platform as a Service (iPaaS),/en/glossary/Integration-Platform-as-a-Service--iPaaS-/,"A cloud platform that connects different business applications and systems together, allowing them to share data and work seamlessly without requiring specialized technical skills.",1082,exact,true
Microservices Architecture: Comprehensive,microservices architecture: comprehensive,Microservices Architecture: Comprehensive,/en/glossary/Microservices/,"A software design approach that breaks applications into small, independent services that communicate via APIs, allowing teams to develop and update each service separately.",1082,exact,true
Model Quantization: A Comprehensive Guide,model quantization: a comprehensive guide,Model Quantization: A Comprehensive Guide,/en/glossary/Model-Quantization/,"Model quantization is a technique that reduces the precision of AI model numbers to make them smaller and faster, enabling them to run on phones and edge devices with less memory and power.",1082,exact,true
SAML (Security Assertion Markup Language),saml (security assertion markup language),SAML (Security Assertion Markup Language),/en/glossary/SAML--Security-Assertion-Markup-Language-/,An open standard that lets users log in once and access multiple applications securely without re-entering passwords.,1082,exact,true
Fall-back Mechanism (Fallback Mechanism),fall-back mechanism (fallback mechanism),Fall-back Mechanism (Fallback Mechanism),/en/glossary/Fall-back-Mechanism/,A fall-back mechanism in AI chatbots ensures continuity when the bot,1080,exact,true
Continuous Learning (Continual Learning),continuous learning (continual learning),Continuous Learning (Continual Learning),/en/glossary/continuous-learning/,"An AI system that learns and improves continuously from new data without forgetting previous knowledge, adapting to changing conditions like humans do over time.",1080,exact,true
SSML (Speech Synthesis Markup Language),ssml (speech synthesis markup language),SSML (Speech Synthesis Markup Language),/en/glossary/SSML--Speech-Synthesis-Markup-Language-/,"A markup language that controls how text sounds when spoken by AI, adjusting pronunciation, speed, pitch, and emotion to make speech sound more natural and human-like.",1078,exact,true
CCPA (California Consumer Privacy Act),ccpa (california consumer privacy act),CCPA (California Consumer Privacy Act),/en/glossary/CCPA--California-Consumer-Privacy-Act-/,A California privacy law that gives residents control over their personal data and requires businesses to be transparent about how they collect and use consumer information.,1076,exact,true
CRM (Customer Relationship Management),crm (customer relationship management),CRM (Customer Relationship Management),/en/glossary/CRM/,"Software that helps businesses organize and track all customer interactions in one place, so teams can better serve customers and boost sales.",1076,exact,true
Oracle Feedback (Ground-Truth Labels),oracle feedback (ground-truth labels),Oracle Feedback (Ground-Truth Labels),/en/glossary/oracle-feedback---ground-truth-labels-/,Explore Oracle feedback and ground-truth labels in AI/ML. Learn how Oracle,1074,exact,true
Generative Adversarial Network (GAN),generative adversarial network (gan),Generative Adversarial Network (GAN),/en/glossary/Generative-Adversarial-Network--GAN-/,"A machine learning system with two competing AI networks: one creates fake data, the other detects fakes, enabling realistic synthetic image and content generation.",1072,exact,true
HIPAA (Health Insurance Portability),hipaa (health insurance portability),HIPAA (Health Insurance Portability),/en/glossary/HIPAA--Health-Insurance-Portability-/,A U.S. federal law that protects patients' medical information privacy and ensures health insurance coverage when changing jobs.,1072,exact,true
Identity and Access Management (IAM),identity and access management (iam),Identity and Access Management (IAM),/en/glossary/Identity-and-Access-Management--IAM-/,"A security system that verifies who users are and controls what resources they can access, ensuring the right people get appropriate permissions at the right time.",1072,exact,true
RAG (Retrieval-Augmented Generation),rag (retrieval-augmented generation),RAG (Retrieval-Augmented Generation),/en/glossary/RAG/,"An AI technology that retrieves relevant information from external databases in real time to provide more accurate and up-to-date answers, reducing false information.",1072,exact,true
Centralized Social Media Management,centralized social media management,Centralized Social Media Management,/en/glossary/Centralized-social-media-management/,"A single platform that manages all of a company's social media accounts, messages, and posts in one place to keep messaging consistent and improve team efficiency.",1070,exact,true
Contact Center as a Service (CCaaS),contact center as a service (ccaas),Contact Center as a Service (CCaaS),/en/glossary/Contact-Center-as-a-Service--CCaaS-/,"A cloud-based customer service platform that lets businesses manage phone calls, messages, and support tickets without buying expensive equipment or hiring IT staff.",1070,exact,true
Hallucination Mitigation Strategies,hallucination mitigation strategies,Hallucination Mitigation Strategies,/en/glossary/hallucination-mitigation-strategies/,Techniques and methods that prevent AI systems from generating false or made-up information by improving accuracy and reliability through tools like data verification and prompt refinement.,1070,exact,true
