keyword,normalized,title,url,description,priority,variation_type,exact_match
ITIL – Information Technology Infrastructure Library,itil – information technology infrastructure library,ITIL – Information Technology Infrastructure Library,/en/glossary/ITIL/,A global best practices framework that helps organizations manage IT services efficiently and align technology with business goals.,1104,exact,true
"Entity Extraction (Named Entity Recognition, NER)","entity extraction (named entity recognition, ner)","Entity Extraction (Named Entity Recognition, NER)",/en/glossary/Entity-Extraction/,"A technology that automatically identifies and extracts key information like names, organizations, and dates from text, converting it into structured data for analysis and automation.",1098,exact,true
Security Information and Event Management (SIEM),security information and event management (siem),Security Information and Event Management (SIEM),/en/glossary/Security-Information-and-Event-Management--SIEM-/,A centralized platform that gathers and analyzes security data from all your IT systems to detect threats and suspicious activity in real-time.,1096,exact,true
Personal Information Protection Law (China),personal information protection law (china),Personal Information Protection Law (China),/en/glossary/Personal-Information-Protection-Law/,"China's comprehensive data protection law enacted in 2021 that requires all organizations—domestic and foreign—to follow strict rules for collecting, using, and safeguarding personal information of pe",1086,exact,true
Scenarios (Pre-Prepared Conversation Flows),scenarios (pre-prepared conversation flows),Scenarios (Pre-Prepared Conversation Flows),/en/glossary/scenarios/,A pre-written conversation blueprint that guides how a chatbot responds to users and performs actions to achieve specific business goals.,1086,exact,true
Privacy-Preserving Machine Learning (PPML),privacy-preserving machine learning (ppml),Privacy-Preserving Machine Learning (PPML),/en/glossary/Privacy-Preserving-ML/,A set of techniques that allow machine learning systems to learn from sensitive data while keeping that data hidden and protected from exposure.,1084,exact,true
APIs (Application Programming Interfaces),apis (application programming interfaces),APIs (Application Programming Interfaces),/en/glossary/APIs/,"A set of rules that lets different software applications communicate and exchange data, like a waiter between you and a kitchen.",1082,exact,true
Environment Variables (Secrets): The Deep,environment variables (secrets): the deep,Environment Variables (Secrets): The Deep,/en/glossary/Environment-Variables--Secrets-/,Learn about environment variables (secrets) for secure application configuration.,1082,exact,true
HNSW (Hierarchical Navigable Small World),hnsw (hierarchical navigable small world),HNSW (Hierarchical Navigable Small World),/en/glossary/HNSW--Hierarchical-Navigable-Small-World-/,"A fast search method that finds the most similar items in huge datasets by navigating through a layered network, enabling quick results without checking every item.",1082,exact,true
Integration Platform as a Service (iPaaS),integration platform as a service (ipaas),Integration Platform as a Service (iPaaS),/en/glossary/Integration-Platform-as-a-Service--iPaaS-/,"A cloud platform that connects different business applications and systems, allowing them to share data seamlessly without requiring specialized technical skills.",1082,exact,true
Microservices Architecture: Comprehensive,microservices architecture: comprehensive,Microservices Architecture: Comprehensive,/en/glossary/Microservices/,"An architectural approach that splits applications into small, independent services that communicate through APIs, enabling teams to develop and update each service separately without affecting others",1082,exact,true
Model Quantization: A Comprehensive Guide,model quantization: a comprehensive guide,Model Quantization: A Comprehensive Guide,/en/glossary/Model-Quantization/,"Model Quantization: A technique that reduces the precision of AI model numbers to make them smaller and faster, enabling efficient operation on phones and edge devices with limited memory and power.",1082,exact,true
SAML (Security Assertion Markup Language),saml (security assertion markup language),SAML (Security Assertion Markup Language),/en/glossary/SAML--Security-Assertion-Markup-Language-/,An open standard that lets users log in once and access multiple applications securely without re-entering passwords.,1082,exact,true
Fall-back Mechanism (Fallback Mechanism),fall-back mechanism (fallback mechanism),Fall-back Mechanism (Fallback Mechanism),/en/glossary/Fall-back-Mechanism/,A fall-back mechanism in AI chatbots ensures continuity when the bot,1080,exact,true
Continuous Learning (Continual Learning),continuous learning (continual learning),Continuous Learning (Continual Learning),/en/glossary/continuous-learning/,"An AI system that learns and improves from new data over time without forgetting what it already knows, staying useful as conditions change.",1080,exact,true
