english,japanese,type,category,notes,usage_context
AI,AI,keep_english,ai_ml,Universal acronym,Always use English
AGI,AGI,keep_english,ai_ml,Universal acronym,Always use English
Artificial Intelligence,人工知能,translate,ai_ml,Standard Japanese term exists,Use kanji form
Artificial General Intelligence,汎用人工知能,translate,ai_ml,Standard Japanese term exists,Use kanji form
Machine Learning,機械学習,translate,ai_ml,Standard Japanese term exists,Use kanji form
Deep Learning,ディープラーニング,katakana,ai_ml,Commonly used in katakana,Technical term
Neural Network,ニューラルネットワーク,katakana,ai_ml,Technical term katakana standard,Use katakana
LLM,LLM,keep_english,ai_ml,Acronym,Always use English
Large Language Model,大規模言語モデル,translate,ai_ml,Descriptive translates well,Use kanji form
Transformer,Transformer,keep_english,ai_ml,Proper noun (architecture name),Product/architecture name
GPT,GPT,keep_english,ai_ml,Acronym/brand,Product name
BERT,BERT,keep_english,ai_ml,Acronym/brand,Product name
Attention Mechanism,アテンションメカニズム,katakana,ai_ml,Technical term,Use katakana
Embedding,埋め込み,translate,ai_ml,Standard Japanese term,Use kanji form
Token,トークン,katakana,ai_ml,Technical term,Use katakana
Prompt,プロンプト,katakana,ai_ml,New term katakana standard,Use katakana
Fine-tuning,ファインチューニング,katakana,ai_ml,Technical process,Use katakana
Inference,推論,translate,ai_ml,Standard Japanese term,Use kanji form
Training,トレーニング,katakana,ai_ml,Common in ML context,Use katakana
Hallucination,ハルシネーション,katakana,ai_ml,No good Japanese equivalent,Technical term
RAG,RAG,keep_english,ai_ml,Acronym,Always use English
Retrieval-Augmented Generation,検索拡張生成,translate,ai_ml,Descriptive term,Use kanji form
NLP,NLP,keep_english,ai_ml,Universal acronym,Always use English
Natural Language Processing,自然言語処理,translate,ai_ml,Standard term,Use kanji form
Prompt Engineering,プロンプトエンジニアリング,katakana,ai_ml,Technical term,Use katakana
Pre-training,事前トレーニング,hybrid,ai_ml,Kanji + katakana,Mixed form
Parameter,パラメータ,katakana,ai_ml,Technical term,Use katakana
Context Window,コンテキストウィンドウ,katakana,ai_ml,Technical term,Use katakana
Temperature,温度,translate,ai_ml,Setting parameter,Use kanji for the setting
Top-p Sampling,Top-pサンプリング,hybrid,ai_ml,Keep Top-p in English,Hybrid format
Vector,ベクトル,katakana,ai_ml,Mathematical term,Use katakana
Benchmark,ベンチマーク,katakana,ai_ml,Technical term,Use katakana
Model Drift,モデルドリフト,katakana,ai_ml,Technical term,Use katakana
