Keyword,Definition,Category,filename
Active Learning,A machine learning process where the model explicitly asks a human to label data points it is uncertain about.,AI Chatbot & Automation,Active-Learning.md
Adaptive Cards,"A platform-agnostic UI framework allowing developers to exchange rich content cards (images, text, forms) in a common format.",AI Chatbot & Automation,Adaptive-Cards.md
Aggregator,A node that collects outputs from multiple execution paths or loops and combines them into a single result.,AI Chatbot & Automation,Aggregator.md
Ambient Intelligence,Systems that listen in the background to support calls with relevant data without explicit commands.,AI Chatbot & Automation,Ambient-Intelligence.md
API Endpoint Configuration,"Settings that expose the created flow as an API, allowing other apps to trigger it programmatically.",AI Chatbot & Automation,API-Endpoint-Configuration.md
Auto-Layout,"A UI feature that automatically organizes messy nodes and edges into a clean, readable structure.",AI Chatbot & Automation,Auto-Layout.md
Automated Workflows,A mechanism that automatically executes business processes based on predefined rules.,AI Chatbot & Automation,Automated-Workflows.md
Autonomous Agents,"AI systems that can plan and execute multiple steps (e.g., 'refund the order and email the user') without human intervention.",AI Chatbot & Automation,Autonomous-Agents.md
Bot Avatar,The icon or image representing the chatbot persona in the chat interface.,AI Chatbot & Automation,Bot-Avatar.md
Bot Containment Rate,The percentage of user interactions handled entirely by the chatbot without transferring to a human agent.,AI Chatbot & Automation,Bot-Containment-Rate.md
Botpress,A developer-friendly platform for building chat bots with a visual flow editor.,AI Chatbot & Automation,Botpress.md
Canonical Form,"Standardizing various user inputs (e.g., 'burgers', 'hamburger', 'cheeseburger') into a single standard value (e.g., 'BURGER').",AI Chatbot & Automation,Canonical-Form.md
Carousel,"A UI element in chat that displays a series of cards (images, text) that users can swipe through horizontally.",AI Chatbot & Automation,Carousel.md
Chat Simulator,A development tool allowing developers to test conversation flows and NLU detection in a safe environment.,AI Chatbot & Automation,Chat-Simulator.md
Code Block (Python/JS),A node allowing developers to write custom scripts for complex logic that standard nodes can't handle.,AI Chatbot & Automation,Code-Block--Python-JS-.md
Conditional Router,"A node with multiple output ports, routing data to exactly one path based on complex rules.",AI Chatbot & Automation,Conditional-Router.md
Confidence Threshold,The minimum score required for an AI model to accept a prediction as correct.,AI Chatbot & Automation,Confidence-Threshold.md
Context Switching,"Handling a scenario where a user abruptly changes the topic mid-conversation, then returns to the original topic.",AI Chatbot & Automation,Context-Switching.md
Conversation Drift,"When a conversation gradually moves away from the original intent or goal, potentially confusing the bot.",AI Chatbot & Automation,Conversation-Drift.md
Conversational AI,A general term for AI systems that communicate and perform tasks through natural dialogue.,AI Chatbot & Automation,Conversational-AI.md
Copilot,"AI tools designed to assist human agents in real-time by drafting responses, summarizing chats, and suggesting actions.",AI Chatbot & Automation,Copilot.md
Cost Estimation,A feature that calculates the approximate token usage and cost of running a flow before deployment.,AI Chatbot & Automation,Cost-Estimation.md
Cron Schedule,"A time-based trigger that runs the flow automatically at specific intervals (e.g., 'Every Monday at 9 AM').",AI Chatbot & Automation,Cron-Schedule.md
Debug Console / Trace,"A tool that shows the step-by-step execution of a flow, highlighting inputs and outputs at each node for troubleshooting.",AI Chatbot & Automation,Debug-Console---Trace.md
Delay / Sleep Node,"A block that pauses the flow execution for a set amount of time (e.g., 'Wait 5 seconds') before proceeding.",AI Chatbot & Automation,Delay---Sleep-Node.md
Dialogue Management,A control system that tracks the state of the conversation and determines the next response.,AI Chatbot & Automation,Dialogue-Management.md
Dialogue State Tracking,The component of a dialogue system that estimates the user's goal at every step of the conversation.,AI Chatbot & Automation,Dialogue-State-Tracking.md
Dify,An open-source LLM app development platform that integrates BaaS and LLM Ops.,AI Chatbot & Automation,Dify.md
Disambiguation,The process of clarifying user intent when an input has multiple possible meanings.,AI Chatbot & Automation,Disambiguation.md
Document Loader,"A component that ingests files (PDF, CSV, TXT) to be processed or stored in a vector database.",AI Chatbot & Automation,Document-Loader.md
DTMF (Dual-Tone Multi-Frequency),Signaling used in telecommunication (pressing keypad numbers) which chatbots can recognize for menu selection.,AI Chatbot & Automation,DTMF--Dual-Tone-Multi-Frequency-.md
Embed Script,A snippet of JavaScript code provided to place the chatbot widget onto any external website.,AI Chatbot & Automation,Embed-Script.md
Entity Extraction,"Technology that pulls specific data points like dates, locations, or names from text.",AI Chatbot & Automation,Entity-Extraction.md
Entity Linking,"Connecting extracted entities from text to a knowledge base (e.g., linking 'Apple' to the company).",AI Chatbot & Automation,Entity-Linking.md
Environment Variables (Secrets),"Secure storage for sensitive keys (API Keys, Passwords) that are hidden from the visual interface.",AI Chatbot & Automation,Environment-Variables--Secrets-.md
Error Handler / Try-Catch,"A dedicated path in the flow that activates only if a specific node fails, preventing the whole flow from crashing.",AI Chatbot & Automation,Error-Handler---Try-Catch.md
Fall-back Mechanism,A system designed to switch to human support when the bot cannot answer a query.,AI Chatbot & Automation,Fall-back-Mechanism.md
False Negative,When a chatbot fails to recognize an intent that it should have understood.,AI Chatbot & Automation,False-Negative.md
False Positive,"When a chatbot incorrectly identifies an intent (e.g., thinking 'I want to cancel' means 'I want to buy').",AI Chatbot & Automation,False-Positive.md
Feedback Buttons (Thumbs Up/Down),Simple icons allowing users to rate a specific bot response as helpful or unhelpful immediately.,AI Chatbot & Automation,Feedback-Buttons--Thumbs-Up-Down-.md
Flowise,An open-source UI visual tool to build your customized LLM flows using LangChainJS.,AI Chatbot & Automation,Flowise.md
Global Variables,"Variables that are accessible from any node in the flow, regardless of the connection path.",AI Chatbot & Automation,Global-Variables.md
Goal Completion Rate (GCR),The percentage of user sessions where the user successfully achieved their intended goal.,AI Chatbot & Automation,Goal-Completion-Rate--GCR-.md
Gumloop,A platform to automate repetitive tasks with AI agents that can browse the web and use apps.,AI Chatbot & Automation,Gumloop.md
Hamburger Menu,A collapsible menu icon (three lines) within the chat window giving access to settings or persistent options.,AI Chatbot & Automation,Hamburger-Menu.md
HTTP Request Node,"A generic node used to send GET, POST, PUT, or DELETE requests to any external API.",AI Chatbot & Automation,HTTP-Request-Node.md
Human Approval Node,A step that pauses the automation until a human user clicks 'Approve' or 'Reject' in the dashboard.,AI Chatbot & Automation,Human-Approval-Node.md
Human-Agent Teaming,"A workflow where AI and human agents work together in the same thread, passing control back and forth.",AI Chatbot & Automation,Human-Agent-Teaming.md
Hybrid Chatbot,A bot that combines rule-based logic (buttons/menus) for simple tasks and NLP for complex queries.,AI Chatbot & Automation,Hybrid-Chatbot.md
Image Generation Node,A block connected to models like DALL-E or Stable Diffusion to create images from text prompts.,AI Chatbot & Automation,Image-Generation-Node.md
Import / Export Blueprint,Saving the entire flow structure as a JSON/YAML file to share with others or move to another account.,AI Chatbot & Automation,Import---Export-Blueprint.md
Infinite Canvas,"A workspace interface that expands indefinitely in all directions, allowing complex node graphs to be mapped out.",AI Chatbot & Automation,Infinite-Canvas.md
Intent Recognition,Technology that identifies the user's specific purpose or goal from their input.,AI Chatbot & Automation,Intent-Recognition.md
Iterator / For-Each,"A logic block that processes items in a list one by one (e.g., processing 10 rows from a spreadsheet).",AI Chatbot & Automation,Iterator---For-Each.md
JSON Path,"A query syntax used to extract specific values (e.g., 'user.id') from a complex JSON data structure.",AI Chatbot & Automation,JSON-Path.md
Knowledge Base Connector,A specialized node that links the flow to an uploaded dataset for RAG operations.,AI Chatbot & Automation,Knowledge-Base-Connector.md
LangFlow,"A UI for LangChain, designed with a reactive flow based on drag-and-drop components.",AI Chatbot & Automation,LangFlow.md
Lemmatization,Grouping together the inflected forms of a word so they can be analyzed as a single item.,AI Chatbot & Automation,Lemmatization.md
Logic Node / Conditional Branching,"A block that directs the flow down different paths based on specific criteria (e.g., If user says 'Yes').",AI Chatbot & Automation,Logic-Node---Conditional-Branching.md
Loop Node,"A function that repeats a set of actions until a certain condition is met (e.g., processing a list of items).",AI Chatbot & Automation,Loop-Node.md
Make (Integromat),"A visual platform that lets you design, build, and automate anything from simple tasks to complex workflows.",AI Chatbot & Automation,Make--Integromat-.md
Minimap,"A small overview map used to navigate large, complex flows with hundreds of nodes.",AI Chatbot & Automation,Minimap.md
Misunderstood Rate,The percentage of user inputs where the bot failed to identify an intent or triggered a fallback.,AI Chatbot & Automation,Misunderstood-Rate.md
Multi-turn Conversation,"A dialogue that requires multiple back-and-forth exchanges to complete a task (e.g., booking a flight).",AI Chatbot & Automation,Multi-turn-Conversation.md
N-Gram,A contiguous sequence of n items (words or characters) from a given sample of text.,AI Chatbot & Automation,N-Gram.md
Named Entity Recognition (NER),A subtask of information extraction that locates and classifies named entities like people or places.,AI Chatbot & Automation,Named-Entity-Recognition--NER-.md
Natural Language Processing (NLP),"Technology that enables computers to understand, interpret, and generate human language.",AI Chatbot & Automation,Natural-Language-Processing--NLP-.md
NLU Confidence Threshold,"The minimum score required for the NLU engine to trigger a specific intent; below this, it triggers a fallback.",AI Chatbot & Automation,NLU-Confidence-Threshold.md
Node Grouping,Visually clustering related nodes together (often with a colored background) to document logic sections.,AI Chatbot & Automation,Node-Grouping.md
Nodes and Edges,"Nodes are the functional blocks (actions), and Edges are the lines connecting them to define the data flow.",AI Chatbot & Automation,Nodes-and-Edges.md
Open-Domain Bot,"A chatbot capable of engaging in conversation on any topic, rather than being limited to a specific domain.",AI Chatbot & Automation,Open-Domain-Bot.md
Output Parsing,"Extracting specific parts of the AI's text response (e.g., just the JSON object) to use in the next step.",AI Chatbot & Automation,Output-Parsing.md
Parallel Execution,Running multiple branches of the flow simultaneously to speed up processing.,AI Chatbot & Automation,Parallel-Execution.md
Persistent Menu,"A menu interface that is always accessible within the chat window for common actions (e.g., 'Restart', 'Help').",AI Chatbot & Automation,Persistent-Menu.md
Persona Design,"Creating a distinct personality, voice, and character for the bot to make interactions more engaging.",AI Chatbot & Automation,Persona-Design.md
Precision and Recall,Metrics used to evaluate the performance of information retrieval and classification systems.,AI Chatbot & Automation,Precision-and-Recall.md
Prompt Template,"A pre-configured prompt structure with placeholders for variables, saved for reuse across flows.",AI Chatbot & Automation,Prompt-Template.md
Query Expansion,The process of reformulating or adding synonyms to a user's search query to improve the likelihood of finding relevant answers.,AI Chatbot & Automation,Query-Expansion.md
Quick Replies,Suggested response buttons that appear above the keyboard to guide the user's next action.,AI Chatbot & Automation,Quick-Replies.md
Rate Limiting Handler,Logic to automatically retry or wait when an external API returns a 'Too Many Requests' error.,AI Chatbot & Automation,Rate-Limiting-Handler.md
Real-time Translation,"AI that instantly translates chat or voice conversations, allowing agents to support customers in any language.",AI Chatbot & Automation,Real-time-Translation.md
Rich Media Cards,"Interactive UI elements in a chat stream that can display images, titles, subtitles, and buttons together.",AI Chatbot & Automation,Rich-Media-Cards.md
Rule-Based Chatbot,"A chatbot that functions based on a pre-defined set of rules and decision trees, without using complex AI.",AI Chatbot & Automation,Rule-Based-Chatbot.md
Sandbox Mode,A testing environment where flows can be run safely without charging credits or affecting live data.,AI Chatbot & Automation,Sandbox-Mode.md
Self-Healing Knowledge,AI that automatically detects outdated info or broken links in the knowledge base and suggests fixes.,AI Chatbot & Automation,Self-Healing-Knowledge.md
Semantic Routing,"Using vector similarity to route a user's query to the correct specialized agent or prompt, rather than using keywords.",AI Chatbot & Automation,Semantic-Routing.md
Sentiment Analysis,"The process of determining the emotional tone (positive, negative, neutral) behind a text.",AI Chatbot & Automation,Sentiment-Analysis.md
Sentiment-Adaptive Tone,"AI capability to adjust the tone of voice (empathetic, formal, cheerful) based on the customer's current emotion.",AI Chatbot & Automation,Sentiment-Adaptive-Tone.md
Slot Carryover,"The ability of the bot to remember information (e.g., 'Tokyo') from a previous turn and apply it to the current intent.",AI Chatbot & Automation,Slot-Carryover.md
Slot Filling,Extracting specific parameters (like dates or locations) to complete a user's request.,AI Chatbot & Automation,Slot-Filling.md
Small Talk,"The ability of a bot to handle casual, non-functional conversation (e.g., 'How are you?') to seem more human.",AI Chatbot & Automation,Small-Talk.md
Speech-to-Text Node,A block that accepts audio input and transcribes it into text for the LLM to process.,AI Chatbot & Automation,Speech-to-Text-Node.md
Splash Screen,The initial screen or welcome image displayed while the chatbot widget is loading.,AI Chatbot & Automation,Splash-Screen.md
SSML (Speech Synthesis Markup Language),"An XML-based markup language for assisting the generation of synthetic speech (controlling pitch, pauses, speed).",AI Chatbot & Automation,SSML--Speech-Synthesis-Markup-Language-.md
Stack AI,"A no-code interface to build, test, and deploy AI workflows using the latest LLMs.",AI Chatbot & Automation,Stack-AI.md
State / Context Memory,"Storage that persists across different sessions or runs, allowing the bot to remember long-term info.",AI Chatbot & Automation,State---Context-Memory.md
State Machine,"A model used in bot development to manage the current 'state' of the conversation (e.g., 'waiting for date' vs 'waiting for payment').",AI Chatbot & Automation,State-Machine.md
Sub-flow / Nested Flow,embedding one entire workflow inside another to simplify complex logic and reuse components.,AI Chatbot & Automation,Sub-flow---Nested-Flow.md
