keyword,definition,category,filename,status_en,status_ja
Active Learning,A machine learning process where the model explicitly asks a human to label data points it is uncertain about.,AI Chatbot & Automation,Active-Learning.md,completed,completed
Adaptive Cards,"A platform-agnostic UI framework allowing developers to exchange rich content cards (images, text, forms) in a common format.",AI Chatbot & Automation,Adaptive-Cards.md,completed,completed
Aggregator,A node that collects outputs from multiple execution paths or loops and combines them into a single result.,AI Chatbot & Automation,Aggregator.md,completed,completed
Aspect-Based Sentiment Analysis,Sentiment analysis that focuses on specific aspects or attributes of a product/service rather than overall sentiment.,Application & Use-Cases,Aspect-Based-Sentiment-Analysis.md,completed,completed
Code Generation,The AI capability to automatically create programming code from natural language descriptions.,Application & Use-Cases,Code-Generation.md,completed,completed
Code Interpreter,"An AI tool that can write, execute, and debug code in real-time during a conversation.",Application & Use-Cases,Code-Interpreter.md,completed,completed
Content Summarization,AI-driven text summarization that condenses large documents while preserving key information.,Application & Use-Cases,Content-Summarization.md,completed,completed
Demand Forecasting,Using AI and ML to predict future product demand based on historical data and market trends.,Application & Use-Cases,Demand-Forecasting.md,completed,completed
EdTech Personalized Learning,AI-powered education technology that adapts learning paths to individual student needs.,Application & Use-Cases,EdTech-Personalized-Learning.md,completed,completed
FinTech Fraud Detection,Financial technology systems using AI to identify and prevent fraudulent transactions.,Application & Use-Cases,FinTech-Fraud-Detection.md,completed,completed
Financial Risk Management,Using AI models to assess and mitigate risks in financial portfolios and investments.,Application & Use-Cases,Financial-Risk-Management.md,completed,completed
Fraud Detection,Systems that use ML algorithms to identify suspicious patterns indicating fraudulent activity.,Application & Use-Cases,Fraud-Detection.md,completed,completed
HealthTech Diagnosis,AI systems that assist healthcare providers in diagnosing medical conditions.,Application & Use-Cases,HealthTech-Diagnosis.md,completed,completed
HR Talent Acquisition,AI-powered tools for sourcing and screening job candidates.,Application & Use-Cases,HR-Talent-Acquisition.md,completed,completed
HR Tech Resume Screening,Automated systems that filter and rank job applications based on criteria.,Application & Use-Cases,HR-Tech-Resume-Screening.md,completed,completed
Lead Scoring,Ranking prospects based on their likelihood to convert using predictive analytics.,Application & Use-Cases,Lead-Scoring.md,completed,completed
Legal Contract Analysis,AI tools that review and extract key clauses from legal documents.,Application & Use-Cases,Legal-Contract-Analysis.md,completed,completed
Market Basket Analysis,Analyzing purchase patterns to identify product associations and cross-selling opportunities.,Application & Use-Cases,Market-Basket-Analysis.md,completed,completed
Medical Image Analysis,AI systems that interpret medical imaging like X-rays and MRIs.,Application & Use-Cases,Medical-Image-Analysis.md,completed,completed
Personalized Email Marketing,Using AI to tailor email content to individual recipient preferences and behaviors.,Application & Use-Cases,Personalized-Email-Marketing.md,completed,completed
Predictive Maintenance,Using AI to forecast equipment failures before they occur.,Application & Use-Cases,Predictive-Maintenance.md,completed,completed
Price Optimization,AI-driven dynamic pricing strategies based on demand and competition.,Application & Use-Cases,Price-Optimization.md,completed,completed
Recommendation Engine,Systems that suggest products or content based on user behavior and preferences.,Application & Use-Cases,Recommendation-Engine.md,completed,completed
Retail Demand Forecasting,Predicting consumer demand patterns specifically for retail inventory planning.,Application & Use-Cases,Retail-Demand-Forecasting.md,completed,completed
Smart Contract,Self-executing contracts with terms directly written into code on blockchain.,Application & Use-Cases,Smart-Contract.md,completed,completed
Speech-to-Text,Converting spoken language into written text using AI recognition.,Application & Use-Cases,Speech-to-Text.md,completed,completed
Text-to-Speech,AI systems that convert written text into natural-sounding spoken audio.,Application & Use-Cases,Text-to-Speech.md,completed,completed
AI Art Generation,Creating visual artwork using generative AI models like DALL-E or Midjourney.,Generative AI¼Content Generation,AI-Art-Generation.md,completed,completed
AI Copywriting,Using AI to generate marketing copy and advertising content.,Generative AI¼Content Generation,AI-Copywriting.md,completed,completed
AI Video Generation,Creating video content using AI without traditional filming.,Generative AI¼Content Generation,AI-Video-Generation.md,completed,completed
AI Writing Assistant,Tools that help users write by suggesting completions and improvements.,Generative AI¼Content Generation,AI-Writing-Assistant.md,completed,completed
Automated Content Generation,Systems that create content automatically based on data or templates.,Generative AI¼Content Generation,Automated-Content-Generation.md,completed,completed
Generative Adversarial Network (GAN),Neural network architecture where two networks compete to generate realistic outputs.,Generative AI¼Content Generation,Generative-Adversarial-Network--GAN-.md,completed,completed
Text Generation,AI models that produce coherent text based on prompts.,Generative AI¼Content Generation,Text-Generation.md,completed,completed
Variational Autoencoder (VAE),Generative model that learns latent representations for creating new data.,Generative AI¼Content Generation,Variational-Autoencoder--VAE-.md,completed,completed
Video Synthesis,AI techniques for generating or manipulating video content.,Generative AI¼Content Generation,Video-Synthesis.md,completed,completed
Voice Cloning,AI technology that replicates a specific person's voice.,Generative AI¼Content Generation,Voice-Cloning.md,completed,completed
Chain-of-Thought Prompting,A prompting technique that encourages models to show step-by-step reasoning.,Prompting & Interfaces,Chain-of-Thought-Prompting.md,completed,completed
Contextual Prompt,Prompts that include relevant background information to guide AI responses.,Prompting & Interfaces,Contextual-Prompt.md,completed,completed
Few-Shot Learning,Training AI with only a small number of examples.,Prompting & Interfaces,Few-Shot-Learning.md,completed,completed
In-Context Learning,The ability of LLMs to learn from examples provided within the prompt.,Prompting & Interfaces,In-Context-Learning.md,completed,completed
Instruction Tuning,Fine-tuning models to better follow natural language instructions.,Prompting & Interfaces,Instruction-Tuning.md,completed,completed
Prompt Chaining,Connecting multiple prompts where output of one becomes input for another.,Prompting & Interfaces,Prompt-Chaining.md,completed,completed
Prompt Engineering,The practice of crafting effective prompts to get desired AI outputs.,Prompting & Interfaces,Prompt-Engineering.md,completed,completed
Prompt Injection,Malicious technique to manipulate AI systems through crafted inputs.,Prompting & Interfaces,Prompt-Injection.md,completed,completed
ReAct Prompting,Combining reasoning and acting in prompts for complex task completion.,Prompting & Interfaces,ReAct-Prompting.md,completed,completed
Self-Consistency Prompting,Generating multiple reasoning paths and selecting the most consistent answer.,Prompting & Interfaces,Self-Consistency-Prompting.md,completed,completed
System Prompt,Initial instructions that define how an AI assistant should behave.,Prompting & Interfaces,System-Prompt.md,completed,completed
Temperature (LLM),Parameter controlling randomness in model outputs.,Prompting & Interfaces,Temperature--LLM-.md,completed,completed
Token,The basic unit of text processing in language models.,Prompting & Interfaces,Token.md,completed,completed
Top-K Sampling,Sampling method that limits choices to the K most likely next tokens.,Prompting & Interfaces,Top-K-Sampling.md,completed,completed
Top-P Sampling,Nucleus sampling method based on cumulative probability threshold.,Prompting & Interfaces,Top-P-Sampling.md,completed,completed
Tree of Thoughts,Advanced prompting technique exploring multiple reasoning branches.,Prompting & Interfaces,Tree-of-Thoughts.md,completed,completed
Zero-Shot Learning,AI performing tasks without any task-specific training examples.,Prompting & Interfaces,Zero-Shot-Learning.md,completed,completed
Cross-Validation,Model evaluation technique using multiple train/test splits.,Machine Learning Lifecycle,Cross-Validation.md,completed,completed
Data Augmentation,Techniques to artificially increase training data variety.,Machine Learning Lifecycle,Data-Augmentation.md,completed,completed
Early Stopping,Halting training when validation performance stops improving.,Machine Learning Lifecycle,Early-Stopping.md,completed,completed
Ensemble Learning,Combining multiple models to improve prediction accuracy.,Machine Learning Lifecycle,Ensemble-Learning.md,completed,completed
Feature Engineering,Creating new input features from raw data to improve models.,Machine Learning Lifecycle,Feature-Engineering.md,completed,completed
Gradient Descent,Optimization algorithm for minimizing loss functions in ML.,Machine Learning Lifecycle,Gradient-Descent.md,completed,completed
Hyperparameter Tuning,Optimizing model settings that aren't learned during training.,Machine Learning Lifecycle,Hyperparameter-Tuning.md,completed,completed
Learning Rate,Parameter controlling how much model weights update during training.,Machine Learning Lifecycle,Learning-Rate.md,completed,completed
Mini-Batch,Processing a subset of training data in each iteration.,Machine Learning Lifecycle,Mini-Batch.md,completed,completed
Model Compression,Techniques to reduce model size while maintaining performance.,Machine Learning Lifecycle,Model-Compression.md,completed,completed
Model Deployment,The process of making trained models available for production use.,Machine Learning Lifecycle,Model-Deployment.md,completed,completed
Model Drift,Performance degradation when production data differs from training data.,Machine Learning Lifecycle,Model-Drift.md,completed,completed
Model Evaluation,Assessing model performance using metrics and test data.,Machine Learning Lifecycle,Model-Evaluation.md,completed,completed
Model Monitoring,Tracking model performance in production environments.,Machine Learning Lifecycle,Model-Monitoring.md,completed,completed
Model Retraining,Updating models with new data to maintain accuracy.,Machine Learning Lifecycle,Model-Retraining.md,completed,completed
Overfitting,When models memorize training data instead of generalizing.,Machine Learning Lifecycle,Overfitting.md,completed,completed
Regularization,Techniques to prevent overfitting by penalizing complexity.,Machine Learning Lifecycle,Regularization.md,completed,completed
Test Set,Data held out for final model evaluation.,Machine Learning Lifecycle,Test-Set.md,completed,completed
Training Pipeline,Automated workflow for preparing data and training models.,Machine Learning Lifecycle,Training-Pipeline.md,completed,completed
Underfitting,When models are too simple to capture data patterns.,Machine Learning Lifecycle,Underfitting.md,completed,completed
Validation Set,Data used to tune hyperparameters during development.,Machine Learning Lifecycle,Validation-Set.md,completed,completed
Weight Initialization,Strategies for setting initial neural network parameters.,Machine Learning Lifecycle,Weight-Initialization.md,completed,completed
Attention Mechanism,Neural network component that focuses on relevant input parts.,Model Training & Data,Attention-Mechanism.md,completed,completed
Backpropagation,Algorithm for computing gradients in neural networks.,Model Training & Data,Backpropagation.md,completed,completed
Batch Normalization,Technique to normalize layer inputs during training.,Model Training & Data,Batch-Normalization.md,completed,completed
BERT,Bidirectional transformer model for understanding language context.,Model Training & Data,BERT.md,completed,completed
Convolutional Neural Network (CNN),Neural network architecture specialized for image processing.,Model Training & Data,Convolutional-Neural-Network--CNN-.md,completed,completed
Data Labeling,The process of annotating data with correct outputs for supervised learning.,Model Training & Data,Data-Labeling.md,completed,completed
