Keyword,Definition,Category,filename
artificial intelligence,Technology that enables computers to think and make decisions like humans,AI Chatbot & Automation,artificial-intelligence.md
customer support,Operations that handle customer inquiries and support,AI Chatbot & Automation,customer-support.md
large language models,AI models trained on massive amounts of text data to understand language usage,AI Chatbot & Automation,large-language-models.md
deep learning,Advanced learning methods that mimic the human brain's mechanisms,AI Chatbot & Automation,deep-learning.md
natural language processing,Technology that enables computers to understand and process human language,AI Chatbot & Automation,natural-language-processing.md
scenarios,Pre-prepared conversation flows,AI Chatbot & Automation,scenarios.md
FAQs,Frequently asked questions and their answers compiled together,AI Chatbot & Automation,FAQs.md
finite state machines,Simple mechanisms that operate with defined states and transition rules,AI Chatbot & Automation,finite-state-machines.md
machine learning,Technology that learns by finding patterns in data,AI Chatbot & Automation,machine-learning.md
neural networks,Learning models that mimic the neural circuits of the human brain,AI Chatbot & Automation,neural-networks.md
hallucination,Phenomenon where AI generates plausible but incorrect information,AI Chatbot & Automation,hallucination.md
RAG,Abbreviation for Retrieval-Augmented Generation. Technology that searches external data and uses that information to generate responses,AI Chatbot & Automation,RAG.md
FlowHunt,Chatbot building platform that can utilize multiple AI models,AI Chatbot & Automation,FlowHunt.md
Multi-channel support,"Unified management of multiple channels like Web, LINE, and email",AI Chatbot & Automation,Multi-channel-support.md
API integration,Mechanism for connecting different systems to automatically exchange data,AI Chatbot & Automation,API-integration.md
supervised learning,Method of training AI using data with correct answers,AI Chatbot & Automation,supervised-learning.md
unsupervised learning,Learning method where AI finds patterns on its own without being given correct answers,AI Chatbot & Automation,unsupervised-learning.md
reinforcement learning,"Learning method that learns through trial and error, receiving rewards for good results",AI Chatbot & Automation,reinforcement-learning.md
continuous learning,Mechanism that continues to learn new information during operation,AI Chatbot & Automation,continuous-learning.md
LiveAgent,Tool for unified management of customer inquiries,AI Chatbot & Automation,LiveAgent.md
TCO,Abbreviation for Total Cost of Ownership. Total cost including implementation through operation,AI Chatbot & Automation,TCO.md
Personal Information Protection Law,Law defining proper handling of personal information,AI Chatbot & Automation,Personal-Information-Protection-Law.md
GDPR,EU's strict personal information protection regulations,AI Chatbot & Automation,GDPR.md
speech recognition,Technology that converts spoken words to text,AI Chatbot & Automation,speech-recognition.md
image analysis,Technology where AI understands photo and image content,AI Chatbot & Automation,image-analysis.md
multimodal technology,"Technology that can simultaneously process multiple formats like text, voice, and images",AI Chatbot & Automation,multimodal-technology.md
bias,Specific biases or preconceptions,AI Chatbot & Automation,bias.md
Natural Language Processing (NLP),Technology that enables AI to understand and respond to human language,AI Chatbot & Automation,Natural-Language-Processing--NLP-.md
Cloud AI,AI services available via the internet,AI Chatbot & Automation,Cloud-AI.md
Generative AI,AI technology that automatically generates text and images,AI Chatbot & Automation,Generative-AI.md
Multimodal AI,"AI capable of handling multiple formats including text, voice, and images",AI Chatbot & Automation,Multimodal-AI.md
Customer Experience (CX),"Abbreviation for Customer Experience, the overall experience customers have with a company",AI Chatbot & Automation,Customer-Experience---CX-.md
CAGR,"Compound Annual Growth Rate, an indicator of annual growth",AI Chatbot & Automation,CAGR.md
Autonomous AI Agents,AI capable of autonomous decision-making and action,AI Chatbot & Automation,Autonomous-AI-Agents.md
Rule-based,Systems operating according to predetermined rules,AI Chatbot & Automation,Rule-based.md
Einstein Service Agent,Fully autonomous AI agent capable of understanding and acting on a wide range of service issues without pre-programming,AI Chatbot & Automation,Einstein-Service-Agent.md
Contact Lens for Amazon Connect,Machine learning-powered call analysis service,AI Chatbot & Automation,Contact-Lens-for-Amazon-Connect.md
Cart Abandonment Rate,Percentage of customers who add items to cart but leave without purchasing,AI Chatbot & Automation,Cart-Abandonment-Rate.md
ROI,Return on Investment - indicator of profit gained relative to investment,AI Chatbot & Automation,ROI.md
CRM,Customer Relationship Management system,AI Chatbot & Automation,CRM.md
Personalization,Adjusting services to individual preferences and situations,AI Chatbot & Automation,Personalization.md
LTV (Lifetime Value),Total profit a single customer brings to a company,AI Chatbot & Automation,LTV---Lifetime-Value-.md
Hybrid System,System where AI and humans collaborate through role division,AI Chatbot & Automation,Hybrid-System.md
Customer Loyalty Scores,Indicator measuring customer attachment to a company or brand,AI Chatbot & Automation,Customer-Loyalty-Scores.md
data encryption,Converting information into unreadable form to protect it from third parties,AI Chatbot & Automation,data-encryption.md
contextual understanding,Understanding conversation flow and context,AI Chatbot & Automation,contextual-understanding.md
honorific language support,Appropriate use of Japanese polite expressions,AI Chatbot & Automation,honorific-language-support.md
knowledge base,A database that systematically compiles knowledge such as frequently asked questions and product information,AI Chatbot & Automation,knowledge-base.md
URL Retriever,A function that automatically acquires website information and updates it periodically,AI Chatbot & Automation,URL-Retriever.md
first contact resolution,The percentage of customer inquiries resolved on first contact. Higher percentages indicate higher customer satisfaction,AI Chatbot & Automation,first-contact-resolution.md
tickets,A unit for managing customer inquiries as individual cases. Can record progress status and response history,AI Chatbot & Automation,tickets.md
LLM as Judge,A novel technique where AI systems evaluate the responses of other AI systems,AI Chatbot & Automation,LLM-as-Judge.md
unsupervised consistency evaluation,An evaluation method that measures reliability by assessing the consistency of multiple AI responses without requiring correct answers,AI Chatbot & Automation,unsupervised-consistency-evaluation.md
oracle feedback (ground-truth labels),Pre-determined correct answers or gold standard labels provided by humans,AI Chatbot & Automation,oracle-feedback---ground-truth-labels-.md
CAI ratio,"An evaluation metric in the research phase that analyzes the consistency and inconsistency between student models and LLM outputs, abbreviating Consistent and Inconsistent Ratio",AI Chatbot & Automation,CAI-ratio.md
student models,A supplementary AI model used for comparison with the main evaluation target model,AI Chatbot & Automation,student-models.md
supplementary indicator,Additional judgment material that complements the primary evaluation metric,AI Chatbot & Automation,supplementary-indicator.md
Hallucination phenomena,The phenomenon where AI generates non-existent information or incorrect content in a plausible manner,AI Chatbot & Automation,Hallucination-phenomena.md
RAG benchmarks,Evaluation criteria for AI systems that search external knowledge to generate responses,AI Chatbot & Automation,RAG-benchmarks.md
Fact-Score,An evaluation metric that automatically scores the factuality of AI-generated text,AI Chatbot & Automation,Fact-Score.md
MHaluBench,A hallucination detection benchmark for multimodal AI combining images and text,AI Chatbot & Automation,MHaluBench.md
prompts,Instruction text or questions given to AI,AI Chatbot & Automation,prompts.md
Zero-shot,Directly asking questions without examples,AI Chatbot & Automation,Zero-shot.md
Few-shot,Asking questions after showing several examples,AI Chatbot & Automation,Few-shot.md
Chain-of-Thought,Asking questions while gradually showing the thinking process,AI Chatbot & Automation,Chain-of-Thought.md
Precision,Accuracy rate,AI Chatbot & Automation,Precision.md
F1 score,Harmonic mean of precision and recall,AI Chatbot & Automation,F1-score.md
BLEU/ROUGE scores,Metrics measuring similarity between generated and reference text,AI Chatbot & Automation,BLEU---ROUGE-scores.md
Consistency evaluation,Evaluation of whether the same input produces consistent outputs,AI Chatbot & Automation,Consistency-evaluation.md
