flow_input,filename
"Create an English glossary entry.

TERM: artificial intelligence
DEFINITION (short): Technology that enables computers to think and make decisions like humans
CATEGORY: AI Chatbot & Automation
",artificial-intelligence.md
"Create an English glossary entry.

TERM: customer support
DEFINITION (short): Operations that handle customer inquiries and support
CATEGORY: AI Chatbot & Automation
",customer-support.md
"Create an English glossary entry.

TERM: large language models
DEFINITION (short): AI models trained on massive amounts of text data to understand language usage
CATEGORY: AI Chatbot & Automation
",large-language-models.md
"Create an English glossary entry.

TERM: deep learning
DEFINITION (short): Advanced learning methods that mimic the human brain's mechanisms
CATEGORY: AI Chatbot & Automation
",deep-learning.md
"Create an English glossary entry.

TERM: natural language processing
DEFINITION (short): Technology that enables computers to understand and process human language
CATEGORY: AI Chatbot & Automation
",Natural-Language-Processing--NLP-.md
"Create an English glossary entry.

TERM: scenarios
DEFINITION (short): Pre-prepared conversation flows
CATEGORY: AI Chatbot & Automation
",scenarios.md
"Create an English glossary entry.

TERM: FAQs
DEFINITION (short): Frequently asked questions and their answers compiled together
CATEGORY: AI Chatbot & Automation
",FAQs.md
"Create an English glossary entry.

TERM: finite state machines
DEFINITION (short): Simple mechanisms that operate with defined states and transition rules
CATEGORY: AI Chatbot & Automation
",finite-state-machines.md
"Create an English glossary entry.

TERM: machine learning
DEFINITION (short): Technology that learns by finding patterns in data
CATEGORY: AI Chatbot & Automation
",machine-learning.md
"Create an English glossary entry.

TERM: neural networks
DEFINITION (short): Learning models that mimic the neural circuits of the human brain
CATEGORY: AI Chatbot & Automation
",neural-networks.md
"Create an English glossary entry.

TERM: hallucination
DEFINITION (short): Phenomenon where AI generates plausible but incorrect information
CATEGORY: AI Chatbot & Automation
",hallucination.md
"Create an English glossary entry.

TERM: RAG
DEFINITION (short): Abbreviation for Retrieval-Augmented Generation. Technology that searches external data and uses that information to generate responses
CATEGORY: AI Chatbot & Automation
",RAG.md
"Create an English glossary entry.

TERM: FlowHunt
DEFINITION (short): Chatbot building platform that can utilize multiple AI models
CATEGORY: AI Chatbot & Automation
",FlowHunt.md
"Create an English glossary entry.

TERM: Multi-channel support
DEFINITION (short): Unified management of multiple channels like Web, LINE, and email
CATEGORY: AI Chatbot & Automation
",Multi-channel-support.md
"Create an English glossary entry.

TERM: API integration
DEFINITION (short): Mechanism for connecting different systems to automatically exchange data
CATEGORY: AI Chatbot & Automation
",API-integration.md
"Create an English glossary entry.

TERM: supervised learning
DEFINITION (short): Method of training AI using data with correct answers
CATEGORY: AI Chatbot & Automation
",supervised-learning.md
"Create an English glossary entry.

TERM: unsupervised learning
DEFINITION (short): Learning method where AI finds patterns on its own without being given correct answers
CATEGORY: AI Chatbot & Automation
",unsupervised-learning.md
"Create an English glossary entry.

TERM: reinforcement learning
DEFINITION (short): Learning method that learns through trial and error, receiving rewards for good results
CATEGORY: AI Chatbot & Automation
",reinforcement-learning.md
"Create an English glossary entry.

TERM: continuous learning
DEFINITION (short): Mechanism that continues to learn new information during operation
CATEGORY: AI Chatbot & Automation
",continuous-learning.md
"Create an English glossary entry.

TERM: LiveAgent
DEFINITION (short): Tool for unified management of customer inquiries
CATEGORY: AI Chatbot & Automation
",LiveAgent.md
