keyword,definition,category,filename
Active Learning,A machine learning process where the model explicitly asks a human to label data points it is uncertain about.,AI Chatbot & Automation,Active-Learning.md
Adaptive Cards,"A platform-agnostic UI framework allowing developers to exchange rich content cards (images, text, forms) in a common format.",AI Chatbot & Automation,Adaptive-Cards.md
Aggregator,A node that collects outputs from multiple execution paths or loops and combines them into a single result.,AI Chatbot & Automation,Aggregator.md
Aspect-Based Sentiment Analysis,Sentiment analysis that focuses on specific aspects or attributes of a product/service rather than overall sentiment.,Application & Use-Cases,Aspect-Based-Sentiment-Analysis.md
Code Generation,The AI capability to automatically create programming code from natural language descriptions.,Application & Use-Cases,Code-Generation.md
Code Interpreter,"An AI tool that can write, execute, and debug code in real-time during a conversation.",Application & Use-Cases,Code-Interpreter.md
Content Summarization,AI-driven text summarization that condenses large documents while preserving key information.,Application & Use-Cases,Content-Summarization.md
Demand Forecasting,Using AI and ML to predict future product demand based on historical data and market trends.,Application & Use-Cases,Demand-Forecasting.md
EdTech Personalized Learning,AI-powered education technology that adapts learning paths to individual student needs.,Application & Use-Cases,EdTech-Personalized-Learning.md
FinTech Fraud Detection,Financial technology systems using AI to identify and prevent fraudulent transactions.,Application & Use-Cases,FinTech-Fraud-Detection.md
Financial Risk Management,Using AI models to assess and mitigate risks in financial portfolios and investments.,Application & Use-Cases,Financial-Risk-Management.md
Fraud Detection,Systems that use ML algorithms to identify suspicious patterns indicating fraudulent activity.,Application & Use-Cases,Fraud-Detection.md
HealthTech Diagnosis,AI systems that assist healthcare providers in diagnosing medical conditions.,Application & Use-Cases,HealthTech-Diagnosis.md
HR Talent Acquisition,AI-powered tools for sourcing and screening job candidates.,Application & Use-Cases,HR-Talent-Acquisition.md
HR Tech Resume Screening,Automated systems that filter and rank job applications based on criteria.,Application & Use-Cases,HR-Tech-Resume-Screening.md
Lead Scoring,Ranking prospects based on their likelihood to convert using predictive analytics.,Application & Use-Cases,Lead-Scoring.md
Legal Contract Analysis,AI tools that review and extract key clauses from legal documents.,Application & Use-Cases,Legal-Contract-Analysis.md
Market Basket Analysis,Analyzing purchase patterns to identify product associations and cross-selling opportunities.,Application & Use-Cases,Market-Basket-Analysis.md
Medical Image Analysis,AI systems that interpret medical imaging like X-rays and MRIs.,Application & Use-Cases,Medical-Image-Analysis.md
Personalized Email Marketing,Using AI to tailor email content to individual recipient preferences and behaviors.,Application & Use-Cases,Personalized-Email-Marketing.md
Predictive Maintenance,Using AI to forecast equipment failures before they occur.,Application & Use-Cases,Predictive-Maintenance.md
Price Optimization,AI-driven dynamic pricing strategies based on demand and competition.,Application & Use-Cases,Price-Optimization.md
Recommendation Engine,Systems that suggest products or content based on user behavior and preferences.,Application & Use-Cases,Recommendation-Engine.md
Retail Demand Forecasting,Predicting consumer demand patterns specifically for retail inventory planning.,Application & Use-Cases,Retail-Demand-Forecasting.md
Smart Contract,Self-executing contracts with terms directly written into code on blockchain.,Application & Use-Cases,Smart-Contract.md
Speech-to-Text,Converting spoken language into written text using AI recognition.,Application & Use-Cases,Speech-to-Text.md
Text-to-Speech,AI systems that convert written text into natural-sounding spoken audio.,Application & Use-Cases,Text-to-Speech.md
AI Art Generation,Creating visual artwork using generative AI models like DALL-E or Midjourney.,Generative AI／Content Generation,AI-Art-Generation.md
AI Copywriting,Using AI to generate marketing copy and advertising content.,Generative AI／Content Generation,AI-Copywriting.md
AI Video Generation,Creating video content using AI without traditional filming.,Generative AI／Content Generation,AI-Video-Generation.md
AI Writing Assistant,Tools that help users write by suggesting completions and improvements.,Generative AI／Content Generation,AI-Writing-Assistant.md
Automated Content Generation,Systems that create content automatically based on data or templates.,Generative AI／Content Generation,Automated-Content-Generation.md
Generative Adversarial Network (GAN),Neural network architecture where two networks compete to generate realistic outputs.,Generative AI／Content Generation,Generative-Adversarial-Network--GAN-.md
Text Generation,AI models that produce coherent text based on prompts.,Generative AI／Content Generation,Text-Generation.md
Variational Autoencoder (VAE),Generative model that learns latent representations for creating new data.,Generative AI／Content Generation,Variational-Autoencoder--VAE-.md
Video Synthesis,AI techniques for generating or manipulating video content.,Generative AI／Content Generation,Video-Synthesis.md
Voice Cloning,AI technology that replicates a specific person's voice.,Generative AI／Content Generation,Voice-Cloning.md
Chain-of-Thought Prompting,A prompting technique that encourages models to show step-by-step reasoning.,Prompting & Interfaces,Chain-of-Thought-Prompting.md
Contextual Prompt,Prompts that include relevant background information to guide AI responses.,Prompting & Interfaces,Contextual-Prompt.md
Few-Shot Learning,Training AI with only a small number of examples.,Prompting & Interfaces,Few-Shot-Learning.md
In-Context Learning,The ability of LLMs to learn from examples provided within the prompt.,Prompting & Interfaces,In-Context-Learning.md
Instruction Tuning,Fine-tuning models to better follow natural language instructions.,Prompting & Interfaces,Instruction-Tuning.md
Prompt Chaining,Connecting multiple prompts where output of one becomes input for another.,Prompting & Interfaces,Prompt-Chaining.md
Prompt Engineering,The practice of crafting effective prompts to get desired AI outputs.,Prompting & Interfaces,Prompt-Engineering.md
Prompt Injection,Malicious technique to manipulate AI systems through crafted inputs.,Prompting & Interfaces,Prompt-Injection.md
ReAct Prompting,Combining reasoning and acting in prompts for complex task completion.,Prompting & Interfaces,ReAct-Prompting.md
Self-Consistency Prompting,Generating multiple reasoning paths and selecting the most consistent answer.,Prompting & Interfaces,Self-Consistency-Prompting.md
System Prompt,Initial instructions that define how an AI assistant should behave.,Prompting & Interfaces,System-Prompt.md
Temperature (LLM),Parameter controlling randomness in model outputs.,Prompting & Interfaces,Temperature--LLM-.md
Token,The basic unit of text processing in language models.,Prompting & Interfaces,Token.md
Top-K Sampling,Sampling method that limits choices to the K most likely next tokens.,Prompting & Interfaces,Top-K-Sampling.md
Top-P Sampling,Nucleus sampling method based on cumulative probability threshold.,Prompting & Interfaces,Top-P-Sampling.md
Tree of Thoughts,Advanced prompting technique exploring multiple reasoning branches.,Prompting & Interfaces,Tree-of-Thoughts.md
Zero-Shot Learning,AI performing tasks without any task-specific training examples.,Prompting & Interfaces,Zero-Shot-Learning.md
Cross-Validation,Model evaluation technique using multiple train/test splits.,Machine Learning Lifecycle,Cross-Validation.md
Data Augmentation,Techniques to artificially increase training data variety.,Machine Learning Lifecycle,Data-Augmentation.md
Early Stopping,Halting training when validation performance stops improving.,Machine Learning Lifecycle,Early-Stopping.md
Ensemble Learning,Combining multiple models to improve prediction accuracy.,Machine Learning Lifecycle,Ensemble-Learning.md
Feature Engineering,Creating new input features from raw data to improve models.,Machine Learning Lifecycle,Feature-Engineering.md
Gradient Descent,Optimization algorithm for minimizing loss functions in ML.,Machine Learning Lifecycle,Gradient-Descent.md
Hyperparameter Tuning,Optimizing model settings that aren't learned during training.,Machine Learning Lifecycle,Hyperparameter-Tuning.md
Learning Rate,Parameter controlling how much model weights update during training.,Machine Learning Lifecycle,Learning-Rate.md
Mini-Batch,Processing a subset of training data in each iteration.,Machine Learning Lifecycle,Mini-Batch.md
Model Compression,Techniques to reduce model size while maintaining performance.,Machine Learning Lifecycle,Model-Compression.md
Model Deployment,The process of making trained models available for production use.,Machine Learning Lifecycle,Model-Deployment.md
Model Drift,Performance degradation when production data differs from training data.,Machine Learning Lifecycle,Model-Drift.md
Model Evaluation,Assessing model performance using metrics and test data.,Machine Learning Lifecycle,Model-Evaluation.md
Model Monitoring,Tracking model performance in production environments.,Machine Learning Lifecycle,Model-Monitoring.md
Model Retraining,Updating models with new data to maintain accuracy.,Machine Learning Lifecycle,Model-Retraining.md
Overfitting,When models memorize training data instead of generalizing.,Machine Learning Lifecycle,Overfitting.md
Regularization,Techniques to prevent overfitting by penalizing complexity.,Machine Learning Lifecycle,Regularization.md
Test Set,Data held out for final model evaluation.,Machine Learning Lifecycle,Test-Set.md
Training Pipeline,Automated workflow for preparing data and training models.,Machine Learning Lifecycle,Training-Pipeline.md
Underfitting,When models are too simple to capture data patterns.,Machine Learning Lifecycle,Underfitting.md
Validation Set,Data used to tune hyperparameters during development.,Machine Learning Lifecycle,Validation-Set.md
Weight Initialization,Strategies for setting initial neural network parameters.,Machine Learning Lifecycle,Weight-Initialization.md
Attention Mechanism,Neural network component that focuses on relevant input parts.,Model Training & Data,Attention-Mechanism.md
Backpropagation,Algorithm for computing gradients in neural networks.,Model Training & Data,Backpropagation.md
Batch Normalization,Technique to normalize layer inputs during training.,Model Training & Data,Batch-Normalization.md
BERT,Bidirectional transformer model for understanding language context.,Model Training & Data,BERT.md
Convolutional Neural Network (CNN),Neural network architecture specialized for image processing.,Model Training & Data,Convolutional-Neural-Network--CNN-.md
Data Labeling,The process of annotating data with correct outputs for supervised learning.,Model Training & Data,Data-Labeling.md
Data Pipeline,Automated workflow for collecting and processing training data.,Model Training & Data,Data-Pipeline.md
Data Preprocessing,Cleaning and transforming raw data before model training.,Model Training & Data,Data-Preprocessing.md
Dropout,Regularization technique that randomly disables neurons during training.,Model Training & Data,Dropout.md
Embedding,Dense vector representation of discrete data like words or categories.,Model Training & Data,Embedding.md
Fine-Tuning,Adapting pre-trained models for specific tasks with additional training.,Model Training & Data,Fine-Tuning.md
GPT,Generative Pre-trained Transformer architecture for language generation.,Model Training & Data,GPT.md
Long Short-Term Memory (LSTM),Recurrent neural network architecture for sequential data.,Model Training & Data,Long-Short-Term-Memory--LSTM-.md
Loss Function,Mathematical function measuring model prediction errors.,Model Training & Data,Loss-Function.md
Pre-Training,Initial training phase on large datasets before fine-tuning.,Model Training & Data,Pre-Training.md
Recurrent Neural Network (RNN),Neural network designed for sequential data processing.,Model Training & Data,Recurrent-Neural-Network--RNN-.md
Synthetic Data,Artificially generated data used for training when real data is limited.,Model Training & Data,Synthetic-Data.md
Tokenization,Breaking text into smaller units for model processing.,Model Training & Data,Tokenization.md
Transfer Learning,Using knowledge from one task to improve performance on another.,Model Training & Data,Transfer-Learning.md
Transformer,Neural network architecture based on self-attention mechanisms.,Model Training & Data,Transformer.md
Word2Vec,Neural network model producing word embeddings from text.,Model Training & Data,Word2Vec.md
A/B Testing,Comparing two versions to determine which performs better.,Analytics & Content Effectiveness,A-B-Testing.md
Attribution Analysis,Determining which touchpoints contribute to conversions.,Analytics & Content Effectiveness,Attribution-Analysis.md
Behavior Flow Analysis,Visualizing how users navigate through a website.,Analytics & Content Effectiveness,Behavior-Flow-Analysis.md
Content Analytics,Measuring how content performs across channels.,Analytics & Content Effectiveness,Content-Analytics.md
Content Gap Analysis,Identifying topics competitors cover that you don't.,Analytics & Content Effectiveness,Content-Gap-Analysis.md
Content Performance Dashboard,Visual interface showing content metrics and KPIs.,Analytics & Content Effectiveness,Content-Performance-Dashboard.md
Content ROI,Calculating return on investment for content marketing efforts.,Analytics & Content Effectiveness,Content-ROI.md
Conversion Rate Optimization (CRO),Improving the percentage of visitors who complete desired actions.,Analytics & Content Effectiveness,Conversion-Rate-Optimization--CRO-.md
Custom Dimension,User-defined attributes for tracking in analytics platforms.,Analytics & Content Effectiveness,Custom-Dimension.md
Data Visualization Best Practices,Guidelines for creating effective visual data representations.,Analytics & Content Effectiveness,Data-Visualization-Best-Practices.md
Goal Tracking,Measuring completion of defined objectives in analytics.,Analytics & Content Effectiveness,Goal-Tracking.md
Multichannel Attribution,Assigning conversion credit across multiple marketing channels.,Analytics & Content Effectiveness,Multichannel-Attribution.md
Session Duration,The length of time a user spends on a website in one visit.,Analytics & Content Effectiveness,Session-Duration.md
Time on Page,Metric measuring how long users spend on individual pages.,Analytics & Content Effectiveness,Time-on-Page.md
ACD (Automatic Call Distribution),System that routes incoming calls to appropriate agents.,Call Center Functionality,ACD--Automatic-Call-Distribution-.md
Agent Assist,AI tools that help agents during customer interactions.,Call Center Functionality,Agent-Assist.md
Agent Occupancy,Percentage of time agents spend on customer interactions.,Call Center Functionality,Agent-Occupancy.md
Average Handle Time (AHT),Mean duration of customer service interactions.,Call Center Functionality,Average-Handle-Time--AHT-.md
Average Speed of Answer (ASA),Mean time customers wait before reaching an agent.,Call Center Functionality,Average-Speed-of-Answer--ASA-.md
Call Barging,Supervisor joining a live call to assist or intervene.,Call Center Functionality,Call-Barging.md
Call Center CRM Integration,Connecting contact center with customer relationship management.,Call Center Functionality,Call-Center-CRM-Integration.md
Call Monitoring,Supervisors listening to live or recorded calls for quality.,Call Center Functionality,Call-Monitoring.md
Call Parking,Placing a call on hold accessible from any extension.,Call Center Functionality,Call-Parking.md
Call Queue,Holding area for calls waiting to be answered.,Call Center Functionality,Call-Queue.md
Call Recording,Capturing audio of customer conversations for review.,Call Center Functionality,Call-Recording.md
Call Routing,Directing calls to appropriate agents based on criteria.,Call Center Functionality,Call-Routing.md
Call Transfer,Moving a call from one agent to another.,Call Center Functionality,Call-Transfer.md
